Name,Type,Element,Level,SubType,Health,Art,Skill1Name,Skill1EnergyCost,Skill1Damage,Skill1Effect,Skill2Name,Skill2EnergyCost,Skill2Damage,Skill2Effect,CardEnergyCost,CardDamage,CardEffect
Banaspati,avatar,fire,2,kuhaka,13,/attached_assets/Red Elemental Avatar_Ava - Banaspati.png,Burning Dagger,"fire,neutral",1,"Flip a coin, if head, opponent defending Avatar get 2 Bleed Counters",Blood Abssorbtion,"fire,fire,neutral,neutral",9,"If opponent Active Avatar has Bleed Counter, heal 2 damage to one of your Reserve Avatar.",,,
Banaspati Female,avatar,fire,2,kujana,12,/attached_assets/Red Elemental Avatar_Ava - Banaspati Fem.png,Pyro Punch,"fire,neutral",3,"If opponent Active Avatar has Bleed Counter, this Skill1 Damage become 4",Burning Body,"fire,fire,neutral,neutral",9,"If opponent Active Avatar is wind Element Avatar, this Skill2 Damage become 11",,,
Boar Berserker,avatar,fire,2,kuhaka,8,/attached_assets/Red Elemental Avatar_Ava - Boar Berserker.png,Fire Slash,"fire,fire",3,"If opponent Active Avatar is wind Element Avatar, this Skill1 Damage become 5",Burn and Slam,"fire,neutral,neutral,neutral,neutral",12,"Player may discard a energy card from energy pile or used energy pile. If the player does that, this Skill2Damage become 23",,,
Boar Witch,avatar,fire,2,kujana,12,/attached_assets/Red Elemental Avatar_Ava - Boar Witch.png,,,,,Heal Aura,"fire,fire,neutral,neutral",7,"After attack, heal 2 damage from this Avatar",,,"if Active Avatar subtype were kuhaka or kujana, these Skill1Damage and Skill2Damage get 2 extra damage"
Borah Trainee A,avatar,fire,1,borah,6,/attached_assets/Red Elemental Avatar_Ava - Borah Trainee A.png,Punch,fire,1,Basic attack,,,,,,,
Borah Trainee B,avatar,fire,1,borah,5,/attached_assets/Red Elemental Avatar_Ava - Borah Trainee B.png,Slash,"fire,neutral",2,Basic attack,,,,,,,
Borah Trainee C,avatar,fire,1,borah,4,/attached_assets/Red Elemental Avatar_Ava - Borah Trainee C.png,Explosion,"fire,fire",1,"If opponent Active Avatar has Bleed Counter, this Skill1 Damage become 3",,,,,,,
Crimson,avatar,fire,2,kobar,14,/attached_assets/Red Elemental Avatar_Ava - Crimson.png,Ignite,"fire,fire",,Put 2 bleed counter into opponent Active Avatar,Inferno Burn,"fire,fire,fire,fire",9,"Player may discard a energy card from energy pile or used energy pile. If the player does that, this Skill2Damage become 19",,,
Scarlet,avatar,fire,2,borah,13,/attached_assets/Red Elemental Avatar_Ava - Scarlet.png,Flame Arrow,"fire,fire",2,"Flip a coin, if head, opponent defending Avatar get 2 Bleed Counters",Inferno Burn,"fire,fire,fire,fire",9,"Player may discard a energy card from energy pile or used energy pile. If the player does that, this Skill2Damage become 19",,,
Daisy,avatar,fire,2,borah,15,/attached_assets/Red Elemental Avatar_Ava - Daisy.png,Pyro Kick,"fire,neutral",5,"If you has 1 or less card in hand, this Skill1Damage become 6",Burning Body,"fire,fire,neutral,neutral",10,"If opponent Active Avatar is wind Element Avatar, this Skill2 Damage become 13",,,
Radja,avatar,fire,2,kobar,16,/attached_assets/Red Elemental Avatar_Ava - Radja.png,Pyro Punch,"fire,neutral",4,"If you has 1 or less card in hand, this Skill1Damage become 5",Burning Body,"fire,fire,neutral,neutral",10,"If opponent Active Avatar is wind Element Avatar, this Skill2 Damage become 111",,,
Kobar Trainee A,avatar,fire,1,kobar,7,/attached_assets/Red Elemental Avatar_Ava - Kobar Trainee A.png,Punch,fire,1,Basic attack,,,,,,,
Kobar Trainee B,avatar,fire,1,kobar,8,/attached_assets/Red Elemental Avatar_Ava - Kobar Trainee B.png,Kick,"fire,neutral",2,Basic attack,,,,,,,
Kobar Trainee C,avatar,fire,1,kobar,6,/attached_assets/Red Elemental Avatar_Ava - Kobar Trainee C.png,Dagger Play,"fire,fire",,Put 2 Bleed Counter on opponent Active Avatar,,,,,,,
Repo Girl,avatar,fire,1,kujana,6,/attached_assets/Red Elemental Avatar_Ava - Repo Girl.png,Kick,"fire,fire",2,Basic attack,,,,,,,
Shaman,avatar,fire,1,kuhaka,6,/attached_assets/Red Elemental Avatar_Ava - Shaman A.png,Burn Spell,"fire,fire",,Put 2 bleed counter into opponent Active Avatar,,,,,,,
Shaman,avatar,fire,1,kujana,6,/attached_assets/Red Elemental Avatar_Ava - Shaman B.png,Direct Spell,"fire,fire",,Put 1 damage into Opponent Target Avatar,,,,,,,
Thug,avatar,fire,1,kuhaka,7,/attached_assets/Red Elemental Avatar_Ava - Thug A.png,Punch,fire,1,Basic attack,,,,,,,
Witch Trainee,avatar,fire,1,kujana,7,/attached_assets/Red Elemental Avatar_Ava - Witch Trainee.png,Unholy Bleed,"fire,fire",1,"Flip a coin, if head, opponent defending Avatar get 2 Bleed Counters",,,,,,,
